,Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,HPA evidence,UniProt evidence,NeXtProt evidence,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type distribution,RNA single cell type specificity score,RNA single cell type specific nTPM,RNA single nuclei brain specificity,RNA single nuclei brain distribution,RNA single nuclei brain specificity score,RNA single nuclei brain specific nTPM,RNA cancer specificity,RNA cancer distribution,RNA cancer specificity score,RNA cancer specific FPKM,RNA brain regional specificity,RNA brain regional distribution,RNA brain regional specificity score,RNA brain regional specific nTPM,RNA blood cell specificity,RNA blood cell distribution,RNA blood cell specificity score,RNA blood cell specific nTPM,RNA blood lineage specificity,RNA blood lineage distribution,RNA blood lineage specificity score,RNA blood lineage specific nTPM,RNA cell line specificity,RNA cell line distribution,RNA cell line specificity score,RNA cell line specific nTPM,RNA tissue cell type enrichment,RNA mouse brain regional specificity,RNA mouse brain regional distribution,RNA mouse brain regional specificity score,RNA mouse brain regional specific nTPM,RNA pig brain regional specificity,RNA pig brain regional distribution,RNA pig brain regional specificity score,RNA pig brain regional specific nTPM,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Secretome location,Secretome function,CCD Protein,CCD Transcript,Blood concentration - Conc. blood IM [pg/L],Blood concentration - Conc. blood MS [pg/L],Blood expression cluster,Tissue expression cluster,Brain expression cluster,Cell line expression cluster,Single cell expression cluster,Interactions,Subcellular main location,Subcellular additional location,Antibody RRID,Cancer prognostics - Bladder Urothelial Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (validation),Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (validation),Cancer prognostics - Glioblastoma Multiforme (TCGA),Cancer prognostics - Glioblastoma Multiforme (validation),Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA),Cancer prognostics - Kidney Chromophobe (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation),Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (validation),Cancer prognostics - Lung Adenocarcinoma (TCGA),Cancer prognostics - Lung Adenocarcinoma (validation),Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA),Cancer prognostics - Lung Squamous Cell Carcinoma (validation),Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA),Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation),Cancer prognostics - Pancreatic Adenocarcinoma (TCGA),Cancer prognostics - Pancreatic Adenocarcinoma (validation),Cancer prognostics - Prostate Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (validation),Cancer prognostics - Skin Cuteneous Melanoma (TCGA),Cancer prognostics - Stomach Adenocarcinoma (TCGA),Cancer prognostics - Testicular Germ Cell Tumor (TCGA),Cancer prognostics - Thyroid Carcinoma (TCGA),Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA),HPA_Score,UniProt_Score,Final_Score
3225,CLPP,,ENSG00000125656,Caseinolytic mitochondrial matrix peptidase proteolytic subunit,Q16740,19,6361531-6370242,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",,"Hydrolase, Protease, Serine protease","Deafness, Disease variant",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Late spermatids: 227.7,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Testis - Early spermatids, Testis - Late spermatids",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA010649,Supported,,Supported,Mitochondria,,,,,,,Cluster 33: Non-specific - ATP binding,Cluster 54: Non-specific - Basic cellular processes,Cluster 39: Astrocytes - Mixed function,Cluster 23: Non-specific - Transcription,Cluster 15: Non-specific - Mixed function,237.0,Mitochondria,,HPA010649: AB_1078538,unprognostic (4.01e-2),unprognostic (7.81e-3),unprognostic (2.79e-2),unprognostic (3.46e-2),unprognostic (1.04e-2),unprognostic (2.45e-2),unprognostic (5.76e-2),unprognostic (2.53e-1),unprognostic (1.89e-2),unprognostic (3.65e-2),unprognostic (6.07e-5),unprognostic (4.13e-2),unprognostic (4.35e-3),unprognostic (7.56e-3),unprognostic (1.80e-2),unprognostic (3.69e-2),unprognostic (8.46e-2),unprognostic (1.91e-2),unprognostic (2.57e-1),unprognostic (2.64e-1),unprognostic (2.04e-1),unprognostic (3.87e-2),unprognostic (2.15e-2),unprognostic (6.92e-2),unprognostic (5.84e-2),unprognostic (1.39e-1),unprognostic (2.46e-1),unprognostic (9.36e-2),unprognostic (7.96e-2),unprognostic (1.34e-1),unprognostic (9.16e-3),0,0,0
3224,CLPB,"ANKCLB, FLJ13152, HSP78, SKD3",ENSG00000162129,Caseinolytic mitochondrial matrix peptidase chaperone subunit B,Q9H078,11,72285495-72434680,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",,Hydrolase,"Cataract, Disease variant, Epilepsy, Intellectual disability",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enriched,Detected in all,11.0,testis: 107.2,Cell type enriched,Detected in all,6.0,Late spermatids: 5042.9,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Immune cell enhanced,Detected in many,,myeloid DC: 25.2,Group enriched,Detected in all,5.0,dendritic cells: 25.2;granulocytes: 7.7;monocytes: 15.5,Low cancer specificity,Detected in all,,,Testis - Late spermatids,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA039005, HPA039006, HPA064571",Enhanced,,,,,,,,,,Cluster 26: Monocytes - Plasma membrane proteins,Cluster 42: Testis - Spermatogenesis,Cluster 45: Non-specific - Mixed function,Cluster 24: Non-specific - Unknown function,Cluster 36: Late spermatids - Unknown function,28.0,,,"HPA039005: AB_2676305, HPA039006: AB_10672767, HPA064571: AB_2685290",unprognostic (4.41e-1),unprognostic (9.81e-2),unprognostic (2.45e-1),unprognostic (3.19e-2),unprognostic (1.87e-2),unprognostic (2.01e-1),unprognostic (1.38e-1),unprognostic (9.40e-4),unprognostic (5.94e-2),unprognostic (1.10e-2),unprognostic (1.88e-6),unprognostic (4.23e-1),unprognostic (1.08e-1),unprognostic (6.13e-2),unprognostic (2.07e-1),unprognostic (2.58e-2),unprognostic (6.83e-3),unprognostic (1.01e-1),unprognostic (4.89e-2),unprognostic (4.34e-2),unprognostic (4.42e-2),unprognostic (3.66e-2),unprognostic (2.26e-1),unprognostic (2.57e-1),unprognostic (1.15e-1),unprognostic (4.44e-3),unprognostic (2.32e-1),unprognostic (1.92e-1),unprognostic (2.46e-1),unprognostic (2.41e-2),unprognostic (7.13e-2),0,0,0
3223,CLP1,"hClp1, HEAB",ENSG00000172409,Cleavage factor polyribonucleotide kinase subunit 1,Q92989,11,57648188-57661865,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins","mRNA processing, tRNA processing","Kinase, Transferase","Disease variant, Neurodegeneration",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Early spermatids: 35.8,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Adrenal gland - Adrenal cortex cells, Stomach - Macrophages",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA057770,Supported,,Supported,"Nucleoplasm,Cytosol",,,,,,,Cluster 35: Neutrophils - Protein binding,Cluster 6: Bone marrow - Innate immune response,Cluster 50: Non-specific - Nucleic acid binding,Cluster 24: Non-specific - Unknown function,Cluster 21: Early spermatids - Spermatogenesis,20.0,Nucleoplasm,Cytosol,HPA057770: AB_2683523,unprognostic (7.61e-2),unprognostic (6.01e-2),unprognostic (3.44e-2),unprognostic (1.02e-1),unprognostic (3.22e-1),unprognostic (1.41e-2),unprognostic (1.09e-1),unprognostic (4.07e-2),unprognostic (1.94e-1),unprognostic (3.17e-3),unprognostic (3.32e-6),unprognostic (1.65e-2),unprognostic (2.55e-1),unprognostic (1.68e-2),unprognostic (2.67e-2),unprognostic (2.68e-2),unprognostic (2.34e-2),unprognostic (1.37e-1),unprognostic (2.78e-1),unprognostic (1.48e-1),unprognostic (2.96e-3),unprognostic (7.42e-2),unprognostic (2.93e-2),unprognostic (1.25e-1),unprognostic (3.21e-4),unprognostic (9.36e-2),unprognostic (4.43e-2),unprognostic (8.19e-2),unprognostic (2.81e-1),unprognostic (2.31e-1),unprognostic (9.88e-2),0,0,0
3222,CLOCK,"bHLHe8, KAT13D, KIAA0334",ENSG00000134852,Clock circadian regulator,O15516,4,55427903-55546909,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Transcription factors","Biological rhythms, DNA damage, Transcription, Transcription regulation","Activator, Acyltransferase, DNA-binding, Transferase",,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in some,,,Low lineage specificity,Detected in many,,,Low cancer specificity,Detected in all,,,"Spleen - Endothelial cells, Stomach - Endothelial cells, Testis - Spermatocytes",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA001867, HPA027565",Supported,,Supported,"Nucleoplasm,Vesicles",,,,,,,Cluster 14: Non-specific - Unknown function,Cluster 39: Retina & Testis - Cilium,Cluster 31: Non-specific - Transcription,Cluster 22: Non-specific - mRNA splicing & Cell cycle,Cluster 31: Spermatocytes - Spermatogenesis,29.0,Nucleoplasm,Vesicles,"HPA001867: AB_1078537, HPA027565: AB_1846975",unprognostic (3.58e-2),unprognostic (8.93e-3),unprognostic (2.36e-1),unprognostic (9.47e-3),unprognostic (1.11e-2),unprognostic (4.70e-2),unprognostic (1.68e-1),unprognostic (1.03e-1),unprognostic (1.27e-2),unprognostic (2.97e-2),unprognostic (2.05e-5),unprognostic (8.54e-5),unprognostic (9.38e-2),unprognostic (3.97e-2),unprognostic (3.03e-1),unprognostic (5.35e-2),unprognostic (1.38e-2),unprognostic (6.37e-2),unprognostic (1.92e-1),unprognostic (1.76e-1),unprognostic (2.10e-1),unprognostic (4.23e-2),unprognostic (2.09e-3),unprognostic (1.59e-1),unprognostic (3.56e-2),unprognostic (9.81e-2),unprognostic (2.98e-2),unprognostic (6.71e-2),unprognostic (2.84e-1),unprognostic (3.26e-2),unprognostic (3.89e-2),0,0,0
3221,CLNS1A,"CLCI, ICln",ENSG00000074201,Chloride nucleotide-sensitive channel 1A,P54105,11,77514936-77637794,"Predicted intracellular proteins, Transporters","mRNA processing, mRNA splicing",,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Thyroid gland - Thyroid glandular cells,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB017840, HPA031707, HPA031708, HPA032045",Approved,,Supported,"Nucleoplasm,Microtubules,Primary cilium,Cytosol,Connecting piece,Mid piece,Principal piece",,,No,No,,16000.0,Cluster 13: Non-specific - Mitochondria,Cluster 54: Non-specific - Basic cellular processes,Cluster 55: Non-specific - Transcription,Cluster 24: Non-specific - Unknown function,Cluster 39: Non-specific - Basic cellular processes,119.0,"Nucleoplasm, Cytosol","Microtubules, Primary cilium, Connecting piece, Mid piece, Principal piece","CAB017840: , HPA031707: AB_2674002, HPA031708: AB_2674003, HPA032045: AB_2674123",unprognostic (1.37e-1),unprognostic (1.54e-1),unprognostic (6.60e-2),unprognostic (6.58e-2),unprognostic (1.09e-1),unprognostic (9.57e-2),unprognostic (8.46e-3),unprognostic (8.68e-2),unprognostic (1.69e-2),unprognostic (3.85e-2),unprognostic (7.12e-6),unprognostic (4.96e-2),unprognostic (9.55e-3),unprognostic (4.04e-2),unprognostic (3.79e-3),unprognostic (8.42e-3),unprognostic (1.04e-4),unprognostic (3.61e-1),unprognostic (3.32e-1),unprognostic (6.76e-2),unprognostic (3.60e-1),unprognostic (1.54e-4),unprognostic (1.37e-1),unprognostic (5.64e-2),unprognostic (5.50e-3),unprognostic (1.04e-1),unprognostic (1.69e-2),unprognostic (6.56e-2),unprognostic (1.96e-1),unprognostic (1.50e-1),unprognostic (1.72e-1),0,0,0
3217,CLN5,,ENSG00000102805,CLN5 intracellular trafficking protein,O75503,13,76990660-77019143,"Disease related genes, Human disease related genes, Predicted intracellular proteins",,"Hydrolase, Transferase","Disease variant, Epilepsy, Neurodegeneration, Neuronal ceroid lipofuscinosis",Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Extravillous trophoblasts: 154.2,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Adrenal gland - Adrenal cortex cells, Thyroid gland - Thyroid glandular cells",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA041788,Approved,,,,,,,,,490000.0,Cluster 25: Non-specific - Unknown function,Cluster 51: Thyroid gland - Unknown function,Cluster 9: Non-specific - Receptor signaling,Cluster 19: Non-specific - Unknown function,Cluster 4: Extravillous trophoblasts - Unknown function,9.0,,,HPA041788: AB_10962726,unprognostic (4.39e-2),unprognostic (9.77e-2),unprognostic (4.13e-1),unprognostic (2.17e-1),unprognostic (7.01e-2),unprognostic (6.48e-2),unprognostic (6.24e-2),unprognostic (1.66e-3),unprognostic (6.00e-3),unprognostic (3.98e-1),unprognostic (8.27e-9),unprognostic (1.87e-3),unprognostic (2.10e-2),unprognostic (5.96e-2),unprognostic (7.54e-2),unprognostic (1.06e-1),unprognostic (3.13e-1),unprognostic (6.41e-2),unprognostic (2.01e-1),unprognostic (1.47e-1),unprognostic (5.51e-2),unprognostic (1.62e-1),unprognostic (2.66e-1),unprognostic (1.53e-1),unprognostic (1.12e-2),unprognostic (2.20e-1),unprognostic (1.84e-1),unprognostic (2.25e-1),unprognostic (8.27e-2),unprognostic (1.59e-1),unprognostic (7.78e-2),0,0,0
3212,CLK3,,ENSG00000179335,CDC like kinase 3,P49761,15,74598500-74645414,"Enzymes, Predicted intracellular proteins",,"Kinase, Serine/threonine-protein kinase, Transferase, Tyrosine-protein kinase",,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA046817,Approved,,Supported,"Nucleoplasm,Intermediate filaments",,,,,,,Cluster 38: Monocytes & Neutrophils - Degranulation,Cluster 40: Non-specific - Transcription,Cluster 6: Non-specific - Immune response,Cluster 58: Non-specific - Nuclear processes,Cluster 55: Non-specific - Transcription,98.0,Nucleoplasm,Intermediate filaments,HPA046817: AB_10964124,unprognostic (1.78e-1),unprognostic (3.41e-2),unprognostic (2.52e-1),unprognostic (3.84e-2),unprognostic (1.47e-2),unprognostic (1.01e-1),unprognostic (6.30e-2),unprognostic (1.81e-2),unprognostic (1.80e-4),unprognostic (2.46e-1),unprognostic (1.36e-4),unprognostic (1.88e-2),unprognostic (1.02e-1),unprognostic (6.79e-2),unprognostic (2.43e-2),unprognostic (3.41e-2),unprognostic (7.23e-2),unprognostic (2.90e-2),unprognostic (2.45e-1),unprognostic (1.53e-1),unprognostic (6.27e-3),unprognostic (3.70e-2),unprognostic (1.00e-1),unprognostic (2.50e-2),unprognostic (5.72e-2),unprognostic (8.13e-2),unprognostic (9.19e-2),unprognostic (1.52e-2),unprognostic (4.43e-1),unprognostic (5.65e-4),unprognostic (1.35e-1),0,0,0
3211,CLK2,,ENSG00000176444,CDC like kinase 2,P49760,1,155262868-155278491,"Enzymes, Predicted intracellular proteins",,"Kinase, Serine/threonine-protein kinase, Transferase, Tyrosine-protein kinase",,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Low lineage specificity,Detected in many,,,Low cancer specificity,Detected in all,,,,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA055366, HPA059507",Approved,,Enhanced,"Nucleoplasm,Nuclear bodies",,,,,,,Cluster 12: Non-specific - Mitochondrial translation,Cluster 66: Non-specific - Transcription,Cluster 16: Non-specific - Transcription,Cluster 45: Non-specific - Nuclear processes,Cluster 49: Non-specific - Transcription,102.0,Nucleoplasm,Nuclear bodies,"HPA055366: AB_2682795, HPA059507: AB_2684044",unprognostic (3.77e-2),unprognostic (2.59e-1),unprognostic (2.36e-1),unprognostic (1.40e-2),unprognostic (5.02e-2),unprognostic (1.10e-2),unprognostic (5.66e-2),unprognostic (4.93e-2),unprognostic (3.31e-3),unprognostic (8.32e-2),unprognostic (7.05e-4),unprognostic (4.86e-2),unprognostic (5.60e-3),unprognostic (9.56e-3),unprognostic (8.10e-2),unprognostic (1.54e-1),unprognostic (4.27e-3),unprognostic (2.08e-1),unprognostic (4.58e-2),unprognostic (1.51e-1),unprognostic (3.26e-2),unprognostic (5.61e-2),unprognostic (2.26e-1),unprognostic (2.14e-1),unprognostic (4.31e-3),unprognostic (2.81e-3),unprognostic (1.10e-1),unprognostic (3.26e-1),unprognostic (1.59e-1),unprognostic (8.26e-2),unprognostic (4.29e-2),0,0,0
3206,CLIP1,"CLIP, CLIP-170, CLIP170, CYLN1, RSN",ENSG00000130779,CAP-Gly domain containing linker protein 1,P30622,12,122271432-122422669,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",Transport,,Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,tongue: 162.3,Cell type enhanced,Detected in all,,Syncytiotrophoblasts: 537.6,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Adrenal gland - Adrenal cortex cells, Testis - Early spermatids",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB004399, HPA026678",Approved,,Approved,"Microtubule ends,Cytosol,Mid piece,Principal piece",,,,,,4200.0,Cluster 28: Neutrophils - Unknown function,Cluster 19: Non-specific - Basic cellular processes,Cluster 2: Neurons - Nucleosome,Cluster 38: Non-specific - Transcription,Cluster 27: Syncytiotrophoblasts - Pregnancy,70.0,"Microtubule ends, Mid piece","Cytosol, Principal piece","CAB004399: AB_671001, HPA026678: AB_1846954",unprognostic (1.34e-1),unprognostic (9.62e-3),unprognostic (3.13e-1),unprognostic (7.77e-2),unprognostic (2.11e-1),unprognostic (6.93e-3),unprognostic (1.50e-1),unprognostic (1.81e-2),unprognostic (1.26e-1),unprognostic (4.97e-2),unprognostic (7.21e-4),unprognostic (3.19e-1),unprognostic (2.17e-1),unprognostic (1.67e-1),unprognostic (1.68e-1),unprognostic (2.24e-2),unprognostic (4.00e-2),unprognostic (6.54e-2),unprognostic (2.80e-1),unprognostic (1.36e-1),unprognostic (4.37e-3),unprognostic (3.79e-3),unprognostic (1.68e-2),unprognostic (3.58e-1),unprognostic (2.35e-2),unprognostic (8.03e-2),unprognostic (2.04e-1),unprognostic (3.81e-2),unprognostic (1.19e-1),unprognostic (3.14e-1),unprognostic (2.08e-1),0,0,0
3205,CLINT1,"CLINT, ENTH, EPNR, KIAA0171",ENSG00000113282,Clathrin interactor 1,Q14677,5,157785743-157859145,"Plasma proteins, Predicted intracellular proteins, Transporters",Endocytosis,,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Immune cell enriched,Detected in all,4.0,basophil: 751.5,Lineage enriched,Detected in all,10.0,granulocytes: 751.5,Low cancer specificity,Detected in all,,,"Adrenal gland - Adrenal cortex cells, Lung - Alveolar cells type 2, Thyroid gland - Thyroid glandular cells",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA043280, HPA056947",Supported,,Supported,"Nucleoplasm,Vesicles",,,,,,430000.0,Cluster 46: Basophils - Proteolysis,Cluster 40: Non-specific - Transcription,Cluster 23: Choroid plexus - Mixed function,Cluster 22: Non-specific - mRNA splicing & Cell cycle,Cluster 77: Plasma cells - Protein processing,56.0,Vesicles,Nucleoplasm,"HPA043280: AB_10793944, HPA056947: AB_2683283",unprognostic (5.83e-2),unprognostic (2.51e-2),unprognostic (2.59e-1),unprognostic (7.16e-3),unprognostic (2.96e-4),unprognostic (2.25e-1),unprognostic (1.03e-1),unprognostic (1.14e-1),unprognostic (1.91e-1),unprognostic (1.10e-2),unprognostic (8.97e-9),unprognostic (4.36e-3),unprognostic (1.26e-1),unprognostic (3.35e-2),unprognostic (1.00e-1),unprognostic (4.84e-2),unprognostic (8.46e-2),unprognostic (2.02e-1),unprognostic (1.42e-1),unprognostic (1.80e-1),unprognostic (2.86e-1),unprognostic (2.90e-4),unprognostic (4.90e-2),unprognostic (1.52e-1),unprognostic (2.26e-3),unprognostic (7.20e-5),unprognostic (4.12e-1),unprognostic (2.25e-1),unprognostic (2.86e-1),unprognostic (1.13e-2),unprognostic (4.32e-1),0,0,0
3198,CLHC1,"C2orf63, FLJ31438",ENSG00000162994,Clathrin heavy chain linker domain containing 1,Q8NHS4,2,55172547-55232563,Predicted intracellular proteins,,,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Astrocytes: 33.8;Ciliated cells: 36.3;Early spermatids: 59.5;Late spermatids: 40.3;Oligodendrocyte precursor cells: 45.3;Oligodendrocytes: 37.5,Cell type enhanced,Detected in all,,ependymal cell: 257.5,Low cancer specificity,Detected in many,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in single,,,Low lineage specificity,Detected in single,,,Low cancer specificity,Detected in all,,,Testis - Early spermatids,Not detected,Not detected,,,Low region specificity,Detected in all,,,"HPA045418, HPA053557",Uncertain,,Approved,"Nucleoli fibrillar center,Centrosome",,,,,,,Cluster 14: Non-specific - Unknown function,Cluster 16: Non-specific - Transcription,Cluster 17: Choroid plexus - Cilium,Cluster 56: Non-specific - Sensory perception,Cluster 42: Ciliated cells - Cilium assembly,2.0,"Nucleoli fibrillar center, Centrosome",,"HPA045418: AB_10962144, HPA053557: AB_2682188",unprognostic (1.71e-1),unprognostic (3.42e-2),,unprognostic (3.12e-2),unprognostic (1.58e-2),unprognostic (1.46e-1),unprognostic (3.68e-2),unprognostic (4.90e-2),unprognostic (2.99e-1),unprognostic (4.03e-2),unprognostic (4.90e-4),unprognostic (1.22e-1),unprognostic (3.48e-1),,,unprognostic (1.28e-1),unprognostic (6.45e-2),unprognostic (7.67e-2),unprognostic (5.46e-2),unprognostic (1.28e-1),unprognostic (2.79e-1),unprognostic (2.14e-3),unprognostic (2.70e-2),unprognostic (1.07e-1),unprognostic (5.99e-2),unprognostic (1.38e-1),unprognostic (1.70e-2),unprognostic (1.70e-1),unprognostic (4.29e-2),unprognostic (3.19e-3),unprognostic (2.77e-1),0,0,0
3171,CLEC16A,"Gop-1, KIAA0350",ENSG00000038532,C-type lectin domain containing 16A,Q2KHT3,16,10944539-11182186,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Autophagy,,Diabetes mellitus,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Astrocytes: 124.2;Early spermatids: 120.4;Excitatory neurons: 90.2;Inhibitory neurons: 129.9;Late spermatids: 106.6;Oligodendrocytes: 67.8,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Pituitary gland - Somatotropes, Testis - Early spermatids, Testis - Late spermatids",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA035814, HPA035815, HPA061385",Enhanced,,Approved,"Nucleoplasm,Vesicles",,,,,,,Cluster 20: Non-specific - DNA binding,Cluster 78: Testis - Transcription,Cluster 38: Sub-cortical - Mixed function,Cluster 21: Lymphoma - Adaptive immune response,Cluster 8: Neurons - Neuronal signaling,9.0,"Nucleoplasm, Vesicles",,"HPA035814: AB_10600801, HPA035815: AB_10671937, HPA061385: AB_2684498",unprognostic (1.52e-1),unprognostic (2.89e-2),unprognostic (1.31e-1),unprognostic (2.48e-1),unprognostic (3.49e-1),unprognostic (1.10e-1),unprognostic (3.44e-1),unprognostic (8.11e-3),unprognostic (2.71e-2),unprognostic (2.41e-1),unprognostic (1.94e-1),unprognostic (6.74e-2),unprognostic (6.04e-2),unprognostic (2.49e-1),unprognostic (2.34e-1),unprognostic (5.08e-2),unprognostic (3.66e-2),unprognostic (1.46e-1),unprognostic (2.63e-1),unprognostic (1.26e-2),unprognostic (5.50e-2),unprognostic (2.59e-1),unprognostic (5.33e-3),unprognostic (4.24e-2),unprognostic (2.40e-1),unprognostic (1.61e-1),unprognostic (1.64e-1),unprognostic (2.78e-1),unprognostic (4.91e-2),unprognostic (7.52e-2),unprognostic (2.05e-1),0,0,0
